time	V(n005)
4.892869781988886e-04	1.009302e+00
5.000000000000000e-04	1.009302e+00
Step Information: X=26  (Step: 27/1001)
0.000000000000000e+00	1.014779e+00
4.892869781988886e-04	1.014779e+00
5.000000000000000e-04	1.014779e+00
Step Information: X=27  (Step: 28/1001)
0.000000000000000e+00	9.825073e-01
4.892869781988886e-04	9.825073e-01
5.000000000000000e-04	9.825073e-01
Step Information: X=28  (Step: 29/1001)
0.000000000000000e+00	9.884725e-01
4.892869781988886e-04	9.884725e-01
5.000000000000000e-04	9.884725e-01
Step Information: X=29  (Step: 30/1001)
0.000000000000000e+00	9.918713e-01
4.892869781988886e-04	9.918713e-01
5.000000000000000e-04	9.918713e-01
Step Information: X=30  (Step: 31/1001)
0.000000000000000e+00	1.014313e+00
4.892869781988886e-04	1.014313e+00
5.000000000000000e-04	1.014313e+00
Step Information: X=31  (Step: 32/1001)
0.000000000000000e+00	9.882217e-01
4.892869781988886e-04	9.882217e-01
5.000000000000000e-04	9.882217e-01
Step Information: X=32  (Step: 33/1001)
0.000000000000000e+00	1.017903e+00
4.892869781988886e-04	1.017903e+00
5.000000000000000e-04	1.017903e+00
Step Information: X=33  (Step: 34/1001)
0.000000000000000e+00	1.010612e+00
4.892869781988886e-04	1.010612e+00
5.000000000000000e-04	1.010612e+00
Step Information: X=34  (Step: 35/1001)
0.000000000000000e+00	1.012911e+00
4.892869781988886e-04	1.012911e+00
5.000000000000000e-04	1.012911e+00
Step Information: X=35  (Step: 36/1001)
0.000000000000000e+00	9.926536e-01
4.892869781988886e-04	9.926536e-01
5.000000000000000e-04	9.926536e-01
Step Information: X=36  (Step: 37/1001)
0.000000000000000e+00	9.821669e-01
4.892869781988886e-04	9.821669e-01
5.000000000000000e-04	9.821669e-01
Step Information: X=37  (Step: 38/1001)
0.000000000000000e+00	1.005486e+00
4.892869781988886e-04	1.005486e+00
5.000000000000000e-04	1.005486e+00
Step Information: X=38  (Step: 39/1001)
0.000000000000000e+00	1.005806e+00
4.892869781988886e-04	1.005806e+00
5.000000000000000e-04	1.005806e+00
Step Information: X=39  (Step: 40/1001)
0.000000000000000e+00	1.005778e+00
4.892869781988886e-04	1.005778e+00
5.000000000000000e-04	1.005778e+00
Step Information: X=40  (Step: 41/1001)
0.000000000000000e+00	1.021708e+00
4.892869781988886e-04	1.021708e+00
5.000000000000000e-04	1.021708e+00
Step Information: X=41  (Step: 42/1001)
0.000000000000000e+00	1.013624e+00
4.892869781988886e-04	1.013624e+00
5.000000000000000e-04	1.013624e+00
Step Information: X=42  (Step: 43/1001)
0.000000000000000e+00	1.003036e+00
4.892869781988886e-04	1.003036e+00
5.000000000000000e-04	1.003036e+00
Step Information: X=43  (Step: 44/1001)
0.000000000000000e+00	9.922157e-01
4.892869781988886e-04	9.922157e-01
5.000000000000000e-04	9.922157e-01
Step Information: X=44  (Step: 45/1001)
0.000000000000000e+00	9.990394e-01
4.892869781988886e-04	9.990394e-01
5.000000000000000e-04	9.990394e-01
Step Information: X=45  (Step: 46/1001)
0.000000000000000e+00	9.994596e-01
4.892869781988886e-04	9.994596e-01
5.000000000000000e-04	9.994596e-01
Step Information: X=46  (Step: 47/1001)
0.000000000000000e+00	1.006935e+00
4.892869781988886e-04	1.006935e+00
5.000000000000000e-04	1.006935e+00
Step Information: X=47  (Step: 48/1001)
0.000000000000000e+00	9.966896e-01
4.892869781988886e-04	9.966896e-01
5.000000000000000e-04	9.966896e-01
Step Information: X=48  (Step: 49/1001)
0.000000000000000e+00	9.962642e-01
4.892869781988886e-04	9.962642e-01
5.000000000000000e-04	9.962642e-01
Step Information: X=49  (Step: 50/1001)
0.000000000000000e+00	1.016647e+00
4.892869781988886e-04	1.016647e+00
5.000000000000000e-04	1.016647e+00
Step Information: X=50  (Step: 51/1001)
0.000000000000000e+00	9.998893e-01
4.892869781988886e-04	9.998893e-01
5.000000000000000e-04	9.998893e-01
Step Information: X=51  (Step: 52/1001)
0.000000000000000e+00	9.969512e-01
4.892869781988886e-04	9.969512e-01
5.000000000000000e-04	9.969512e-01
Step Information: X=52  (Step: 53/1001)
0.000000000000000e+00	1.003245e+00
4.892869781988886e-04	1.003245e+00
5.000000000000000e-04	1.003245e+00
Step Information: X=53  (Step: 54/1001)
0.000000000000000e+00	1.002135e+00
4.892869781988886e-04	1.002135e+00
5.000000000000000e-04	1.002135e+00
Step Information: X=54  (Step: 55/1001)
0.000000000000000e+00	9.868957e-01
4.892869781988886e-04	9.868957e-01
5.000000000000000e-04	9.868957e-01
Step Information: X=55  (Step: 56/1001)
0.000000000000000e+00	1.010917e+00
4.892869781988886e-04	1.010917e+00
5.000000000000000e-04	1.010917e+00
Step Information: X=56  (Step: 57/1001)
0.000000000000000e+00	1.006594e+00
4.892869781988886e-04	1.006594e+00
5.000000000000000e-04	1.006594e+00
Step Information: X=57  (Step: 58/1001)
0.000000000000000e+00	9.852691e-01
4.892869781988886e-04	9.852691e-01
5.000000000000000e-04	9.852691e-01
Step Information: X=58  (Step: 59/1001)
0.000000000000000e+00	9.876459e-01
4.892869781988886e-04	9.876459e-01
5.000000000000000e-04	9.876459e-01
Step Information: X=59  (Step: 60/1001)
0.000000000000000e+00	1.006923e+00
4.892869781988886e-04	1.006923e+00
5.000000000000000e-04	1.006923e+00
Step Information: X=60  (Step: 61/1001)
0.000000000000000e+00	1.018510e+00
4.892869781988886e-04	1.018510e+00
5.000000000000000e-04	1.018510e+00
Step Information: X=61  (Step: 62/1001)
0.000000000000000e+00	1.003814e+00
4.892869781988886e-04	1.003814e+00
5.000000000000000e-04	1.003814e+00
Step Information: X=62  (Step: 63/1001)
0.000000000000000e+00	9.861979e-01
4.892869781988886e-04	9.861979e-01
5.000000000000000e-04	9.861979e-01
Step Information: X=63  (Step: 64/1001)
0.000000000000000e+00	9.992043e-01
4.892869781988886e-04	9.992043e-01
5.000000000000000e-04	9.992043e-01
Step Information: X=64  (Step: 65/1001)
0.000000000000000e+00	1.001742e+00
4.892869781988886e-04	1.001742e+00
5.000000000000000e-04	1.001742e+00
Step Information: X=65  (Step: 66/1001)
0.000000000000000e+00	1.013170e+00
4.892869781988886e-04	1.013170e+00
5.000000000000000e-04	1.013170e+00
Step Information: X=66  (Step: 67/1001)
0.000000000000000e+00	1.007709e+00
4.892869781988886e-04	1.007709e+00
5.000000000000000e-04	1.007709e+00
Step Information: X=67  (Step: 68/1001)
0.000000000000000e+00	9.875264e-01
4.892869781988886e-04	9.875264e-01
5.000000000000000e-04	9.875264e-01
Step Information: X=68  (Step: 69/1001)
0.000000000000000e+00	9.977933e-01
4.892869781988886e-04	9.977933e-01
5.000000000000000e-04	9.977933e-01
Step Information: X=69  (Step: 70/1001)
0.000000000000000e+00	1.018342e+00
4.892869781988886e-04	1.018342e+00
5.000000000000000e-04	1.018342e+00
Step Information: X=70  (Step: 71/1001)
0.000000000000000e+00	9.990903e-01
4.892869781988886e-04	9.990903e-01
5.000000000000000e-04	9.990903e-01
Step Information: X=71  (Step: 72/1001)
0.000000000000000e+00	1.011933e+00
4.892869781988886e-04	1.011933e+00
5.000000000000000e-04	1.011933e+00
Step Information: X=72  (Step: 73/1001)
0.000000000000000e+00	1.005865e+00
4.892869781988886e-04	1.005865e+00
5.000000000000000e-04	1.005865e+00
Step Information: X=73  (Step: 74/1001)
0.000000000000000e+00	1.000221e+00
4.892869781988886e-04	1.000221e+00
5.000000000000000e-04	1.000221e+00
Step Information: X=74  (Step: 75/1001)
0.000000000000000e+00	1.000776e+00
4.892869781988886e-04	1.000776e+00
5.000000000000000e-04	1.000776e+00
Step Information: X=75  (Step: 76/1001)
0.000000000000000e+00	1.004422e+00
4.892869781988886e-04	1.004422e+00
5.000000000000000e-04	1.004422e+00
Step Information: X=76  (Step: 77/1001)
0.000000000000000e+00	1.001330e+00
4.892869781988886e-04	1.001330e+00
5.000000000000000e-04	1.001330e+00
Step Information: X=77  (Step: 78/1001)
0.000000000000000e+00	1.018224e+00
4.892869781988886e-04	1.018224e+00
5.000000000000000e-04	1.018224e+00
Step Information: X=78  (Step: 79/1001)
0.000000000000000e+00	1.003356e+00
4.892869781988886e-04	1.003356e+00
5.000000000000000e-04	1.003356e+00
Step Information: X=79  (Step: 80/1001)
0.000000000000000e+00	1.012901e+00
4.892869781988886e-04	1.012901e+00
5.000000000000000e-04	1.012901e+00
Step Information: X=80  (Step: 81/1001)
0.000000000000000e+00	9.971889e-01
4.892869781988886e-04	9.971889e-01
5.000000000000000e-04	9.971889e-01
Step Information: X=81  (Step: 82/1001)
0.000000000000000e+00	1.017274e+00
4.892869781988886e-04	1.017274e+00
5.000000000000000e-04	1.017274e+00
Step Information: X=82  (Step: 83/1001)
0.000000000000000e+00	9.959898e-01
4.892869781988886e-04	9.959898e-01
5.000000000000000e-04	9.959898e-01
Step Information: X=83  (Step: 84/1001)
0.000000000000000e+00	1.021235e+00
4.892869781988886e-04	1.021235e+00
5.000000000000000e-04	1.021235e+00
Step Information: X=84  (Step: 85/1001)
0.000000000000000e+00	1.016320e+00
4.892869781988886e-04	1.016320e+00
5.000000000000000e-04	1.016320e+00
Step Information: X=85  (Step: 86/1001)
0.000000000000000e+00	1.013226e+00
4.892869781988886e-04	1.013226e+00
5.000000000000000e-04	1.013226e+00
Step Information: X=86  (Step: 87/1001)
0.000000000000000e+00	1.002226e+00
4.892869781988886e-04	1.002226e+00
5.000000000000000e-04	1.002226e+00
Step Information: X=87  (Step: 88/1001)
0.000000000000000e+00	1.002421e+00
4.892869781988886e-04	1.002421e+00
5.000000000000000e-04	1.002421e+00
Step Information: X=88  (Step: 89/1001)
0.000000000000000e+00	1.007564e+00
4.892869781988886e-04	1.007564e+00
5.000000000000000e-04	1.007564e+00
Step Information: X=89  (Step: 90/1001)
0.000000000000000e+00	1.012569e+00
4.892869781988886e-04	1.012569e+00
5.000000000000000e-04	1.012569e+00
Step Information: X=90  (Step: 91/1001)
0.000000000000000e+00	1.021321e+00
4.892869781988886e-04	1.021321e+00
5.000000000000000e-04	1.021321e+00
Step Information: X=91  (Step: 92/1001)
0.000000000000000e+00	1.005515e+00
4.892869781988886e-04	1.005515e+00
5.000000000000000e-04	1.005515e+00
Step Information: X=92  (Step: 93/1001)
0.000000000000000e+00	1.011915e+00
4.892869781988886e-04	1.011915e+00
5.000000000000000e-04	1.011915e+00
Step Information: X=93  (Step: 94/1001)
0.000000000000000e+00	1.000561e+00
4.892869781988886e-04	1.000561e+00
5.000000000000000e-04	1.000561e+00
Step Information: X=94  (Step: 95/1001)
0.000000000000000e+00	9.938675e-01
4.892869781988886e-04	9.938675e-01
5.000000000000000e-04	9.938675e-01
Step Information: X=95  (Step: 96/1001)
0.000000000000000e+00	1.008337e+00
4.892869781988886e-04	1.008337e+00
5.000000000000000e-04	1.008337e+00
Step Information: X=96  (Step: 97/1001)
0.000000000000000e+00	9.905275e-01
4.892869781988886e-04	9.905275e-01
5.000000000000000e-04	9.905275e-01
Step Information: X=97  (Step: 98/1001)
0.000000000000000e+00	9.998975e-01
4.892869781988886e-04	9.998975e-01
5.000000000000000e-04	9.998975e-01
Step Information: X=98  (Step: 99/1001)
0.000000000000000e+00	9.889628e-01
4.892869781988886e-04	9.889628e-01
5.000000000000000e-04	9.889628e-01
Step Information: X=99  (Step: 100/1001)
0.000000000000000e+00	9.973960e-01
4.892869781988886e-04	9.973960e-01
5.000000000000000e-04	9.973960e-01
Step Information: X=100  (Step: 101/1001)
0.000000000000000e+00	1.000103e+00
4.892869781988886e-04	1.000103e+00
5.000000000000000e-04	1.000103e+00
Step Information: X=101  (Step: 102/1001)
0.000000000000000e+00	1.014392e+00
4.892869781988886e-04	1.014392e+00
5.000000000000000e-04	1.014392e+00
Step Information: X=102  (Step: 103/1001)
0.000000000000000e+00	9.960174e-01
4.892869781988886e-04	9.960174e-01
5.000000000000000e-04	9.960174e-01
Step Information: X=103  (Step: 104/1001)
0.000000000000000e+00	1.008746e+00
4.892869781988886e-04	1.008746e+00
5.000000000000000e-04	1.008746e+00
Step Information: X=104  (Step: 105/1001)
0.000000000000000e+00	1.003053e+00
4.892869781988886e-04	1.003053e+00
5.000000000000000e-04	1.003053e+00
Step Information: X=105  (Step: 106/1001)
0.000000000000000e+00	9.948707e-01
4.892869781988886e-04	9.948707e-01
5.000000000000000e-04	9.948707e-01
Step Information: X=106  (Step: 107/1001)
0.000000000000000e+00	9.942304e-01
4.892869781988886e-04	9.942304e-01
5.000000000000000e-04	9.942304e-01
Step Information: X=107  (Step: 108/1001)
0.000000000000000e+00	9.955603e-01
4.892869781988886e-04	9.955603e-01
5.000000000000000e-04	9.955603e-01
Step Information: X=108  (Step: 109/1001)
0.000000000000000e+00	9.960027e-01
4.892869781988886e-04	9.960027e-01
5.000000000000000e-04	9.960027e-01
Step Information: X=109  (Step: 110/1001)
0.000000000000000e+00	9.882258e-01
4.892869781988886e-04	9.882258e-01
5.000000000000000e-04	9.882258e-01
Step Information: X=110  (Step: 111/1001)
0.000000000000000e+00	1.002000e+00
4.892869781988886e-04	1.002000e+00
5.000000000000000e-04	1.002000e+00
Step Information: X=111  (Step: 112/1001)
0.000000000000000e+00	9.971948e-01
4.892869781988886e-04	9.971948e-01
5.000000000000000e-04	9.971948e-01
Step Information: X=112  (Step: 113/1001)
0.000000000000000e+00	9.803545e-01
4.892869781988886e-04	9.803545e-01
5.000000000000000e-04	9.803545e-01
Step Information: X=113  (Step: 114/1001)
0.000000000000000e+00	9.912544e-01
4.892869781988886e-04	9.912544e-01
5.000000000000000e-04	9.912544e-01
Step Information: X=114  (Step: 115/1001)
0.000000000000000e+00	1.003682e+00
4.892869781988886e-04	1.003682e+00
5.000000000000000e-04	1.003682e+00
Step Information: X=115  (Step: 116/1001)
0.000000000000000e+00	9.947541e-01
4.892869781988886e-04	9.947541e-01
5.000000000000000e-04	9.947541e-01
Step Information: X=116  (Step: 117/1001)
0.000000000000000e+00	9.915287e-01
4.892869781988886e-04	9.915287e-01
5.000000000000000e-04	9.915287e-01
Step Information: X=117  (Step: 118/1001)
0.000000000000000e+00	1.009270e+00
4.892869781988886e-04	1.009270e+00
5.000000000000000e-04	1.009270e+00
Step Information: X=118  (Step: 119/1001)
0.000000000000000e+00	1.012876e+00
4.892869781988886e-04	1.012876e+00
5.000000000000000e-04	1.012876e+00
Step Information: X=119  (Step: 120/1001)
0.000000000000000e+00	1.009254e+00
4.892869781988886e-04	1.009254e+00
5.000000000000000e-04	1.009254e+00
Step Information: X=120  (Step: 121/1001)
0.000000000000000e+00	1.001824e+00
4.892869781988886e-04	1.001824e+00
5.000000000000000e-04	1.001824e+00
Step Information: X=121  (Step: 122/1001)
0.000000000000000e+00	9.935545e-01
4.892869781988886e-04	9.935545e-01
5.000000000000000e-04	9.935545e-01
Step Information: X=122  (Step: 123/1001)
0.000000000000000e+00	9.918446e-01
4.892869781988886e-04	9.918446e-01
5.000000000000000e-04	9.918446e-01
Step Information: X=123  (Step: 124/1001)
0.000000000000000e+00	9.866447e-01
4.892869781988886e-04	9.866447e-01
5.000000000000000e-04	9.866447e-01
Step Information: X=124  (Step: 125/1001)
0.000000000000000e+00	1.017939e+00
4.892869781988886e-04	1.017939e+00
5.000000000000000e-04	1.017939e+00
Step Information: X=125  (Step: 126/1001)
0.000000000000000e+00	9.906766e-01
4.892869781988886e-04	9.906766e-01
5.000000000000000e-04	9.906766e-01
Step Information: X=126  (Step: 127/1001)
0.000000000000000e+00	9.986805e-01
4.892869781988886e-04	9.986805e-01
5.000000000000000e-04	9.986805e-01
Step Information: X=127  (Step: 128/1001)
0.000000000000000e+00	1.010791e+00
4.892869781988886e-04	1.010791e+00
5.000000000000000e-04	1.010791e+00
Step Information: X=128  (Step: 129/1001)
0.000000000000000e+00	9.896542e-01
4.892869781988886e-04	9.896542e-01
5.000000000000000e-04	9.896542e-01
Step Information: X=129  (Step: 130/1001)
0.000000000000000e+00	1.013863e+00
4.892869781988886e-04	1.013863e+00
5.000000000000000e-04	1.013863e+00
Step Information: X=130  (Step: 131/1001)
0.000000000000000e+00	1.011935e+00
4.892869781988886e-04	1.011935e+00
5.000000000000000e-04	1.011935e+00
Step Information: X=131  (Step: 132/1001)
0.000000000000000e+00	9.900382e-01
4.892869781988886e-04	9.900382e-01
5.000000000000000e-04	9.900382e-01
Step Information: X=132  (Step: 133/1001)
0.000000000000000e+00	1.000132e+00
4.892869781988886e-04	1.000132e+00
5.000000000000000e-04	1.000132e+00
Step Information: X=133  (Step: 134/1001)
0.000000000000000e+00	9.904947e-01
4.892869781988886e-04	9.904947e-01
5.000000000000000e-04	9.904947e-01
Step Information: X=134  (Step: 135/1001)
0.000000000000000e+00	1.012505e+00
4.892869781988886e-04	1.012505e+00
5.000000000000000e-04	1.012505e+00
Step Information: X=135  (Step: 136/1001)
0.000000000000000e+00	1.007435e+00
4.892869781988886e-04	1.007435e+00
5.000000000000000e-04	1.007435e+00
Step Information: X=136  (Step: 137/1001)
0.000000000000000e+00	1.005733e+00
4.892869781988886e-04	1.005733e+00
5.000000000000000e-04	1.005733e+00
Step Information: X=137  (Step: 138/1001)
0.000000000000000e+00	1.023657e+00
4.892869781988886e-04	1.023657e+00
5.000000000000000e-04	1.023657e+00
Step Information: X=138  (Step: 139/1001)
0.000000000000000e+00	9.994137e-01
4.892869781988886e-04	9.994137e-01
5.000000000000000e-04	9.994137e-01
Step Information: X=139  (Step: 140/1001)
0.000000000000000e+00	1.011161e+00
4.892869781988886e-04	1.011161e+00
5.000000000000000e-04	1.011161e+00
Step Information: X=140  (Step: 141/1001)
0.000000000000000e+00	1.007672e+00
4.892869781988886e-04	1.007672e+00
5.000000000000000e-04	1.007672e+00
Step Information: X=141  (Step: 142/1001)
0.000000000000000e+00	9.994952e-01
4.892869781988886e-04	9.994952e-01
5.000000000000000e-04	9.994952e-01
Step Information: X=142  (Step: 143/1001)
0.000000000000000e+00	1.011589e+00
4.892869781988886e-04	1.011589e+00
5.000000000000000e-04	1.011589e+00
Step Information: X=143  (Step: 144/1001)
0.000000000000000e+00	9.961061e-01
4.892869781988886e-04	9.961061e-01
5.000000000000000e-04	9.961061e-01
Step Information: X=144  (Step: 145/1001)
0.000000000000000e+00	1.036608e+00
4.892869781988886e-04	1.036608e+00
5.000000000000000e-04	1.036608e+00
Step Information: X=145  (Step: 146/1001)
0.000000000000000e+00	9.950392e-01
4.892869781988886e-04	9.950392e-01
5.000000000000000e-04	9.950392e-01
Step Information: X=146  (Step: 147/1001)
0.000000000000000e+00	9.978211e-01
4.892869781988886e-04	9.978211e-01
5.000000000000000e-04	9.978211e-01
Step Information: X=147  (Step: 148/1001)
0.000000000000000e+00	1.009617e+00
4.892869781988886e-04	1.009617e+00
5.000000000000000e-04	1.009617e+00
Step Information: X=148  (Step: 149/1001)
0.000000000000000e+00	1.009837e+00
4.892869781988886e-04	1.009837e+00
5.000000000000000e-04	1.009837e+00
Step Information: X=149  (Step: 150/1001)
0.000000000000000e+00	9.871899e-01
4.892869781988886e-04	9.871899e-01
5.000000000000000e-04	9.871899e-01
Step Information: X=150  (Step: 151/1001)
0.000000000000000e+00	1.005302e+00
4.892869781988886e-04	1.005302e+00
5.000000000000000e-04	1.005302e+00
Step Information: X=151  (Step: 152/1001)
0.000000000000000e+00	1.002967e+00
4.892869781988886e-04	1.002967e+00
5.000000000000000e-04	1.002967e+00
Step Information: X=152  (Step: 153/1001)
0.000000000000000e+00	1.003804e+00
4.892869781988886e-04	1.003804e+00
5.000000000000000e-04	1.003804e+00
Step Information: X=153  (Step: 154/1001)
0.000000000000000e+00	1.009362e+00
4.892869781988886e-04	1.009362e+00
5.000000000000000e-04	1.009362e+00
Step Information: X=154  (Step: 155/1001)
0.000000000000000e+00	1.010719e+00
4.892869781988886e-04	1.010719e+00
5.000000000000000e-04	1.010719e+00
Step Information: X=155  (Step: 156/1001)
0.000000000000000e+00	1.012044e+00
4.892869781988886e-04	1.012044e+00
5.000000000000000e-04	1.012044e+00
Step Information: X=156  (Step: 157/1001)
0.000000000000000e+00	9.902379e-01
4.892869781988886e-04	9.902379e-01
5.000000000000000e-04	9.902379e-01
Step Information: X=157  (Step: 158/1001)
0.000000000000000e+00	1.004152e+00
4.892869781988886e-04	1.004152e+00
5.000000000000000e-04	1.004152e+00
Step Information: X=158  (Step: 159/1001)
0.000000000000000e+00	1.018768e+00
4.892869781988886e-04	1.018768e+00
5.000000000000000e-04	1.018768e+00
Step Information: X=159  (Step: 160/1001)
0.000000000000000e+00	9.984586e-01
4.892869781988886e-04	9.984586e-01
5.000000000000000e-04	9.984586e-01
Step Information: X=160  (Step: 161/1001)
0.000000000000000e+00	9.978822e-01
4.892869781988886e-04	9.978822e-01
5.000000000000000e-04	9.978822e-01
Step Information: X=161  (Step: 162/1001)
0.000000000000000e+00	1.005031e+00
4.892869781988886e-04	1.005031e+00
5.000000000000000e-04	1.005031e+00
Step Information: X=162  (Step: 163/1001)
0.000000000000000e+00	1.025366e+00
4.892869781988886e-04	1.025366e+00
5.000000000000000e-04	1.025366e+00
Step Information: X=163  (Step: 164/1001)
0.000000000000000e+00	9.910477e-01
4.892869781988886e-04	9.910477e-01
5.000000000000000e-04	9.910477e-01
Step Information: X=164  (Step: 165/1001)
0.000000000000000e+00	1.004326e+00
4.892869781988886e-04	1.004326e+00
5.000000000000000e-04	1.004326e+00
Step Information: X=165  (Step: 166/1001)
0.000000000000000e+00	9.912725e-01
4.892869781988886e-04	9.912725e-01
5.000000000000000e-04	9.912725e-01
Step Information: X=166  (Step: 167/1001)
0.000000000000000e+00	1.014258e+00
4.892869781988886e-04	1.014258e+00
5.000000000000000e-04	1.014258e+00
Step Information: X=167  (Step: 168/1001)
0.000000000000000e+00	1.005381e+00
4.892869781988886e-04	1.005381e+00
5.000000000000000e-04	1.005381e+00
Step Information: X=168  (Step: 169/1001)
0.000000000000000e+00	9.991810e-01
4.892869781988886e-04	9.991810e-01
5.000000000000000e-04	9.991810e-01
Step Information: X=169  (Step: 170/1001)
0.000000000000000e+00	1.004990e+00
4.892869781988886e-04	1.004990e+00
5.000000000000000e-04	1.004990e+00
Step Information: X=170  (Step: 171/1001)
0.000000000000000e+00	1.002553e+00
4.892869781988886e-04	1.002553e+00
5.000000000000000e-04	1.002553e+00
Step Information: X=171  (Step: 172/1001)
0.000000000000000e+00	9.935408e-01
4.892869781988886e-04	9.935408e-01
5.000000000000000e-04	9.935408e-01
Step Information: X=172  (Step: 173/1001)
0.000000000000000e+00	9.777457e-01
4.892869781988886e-04	9.777457e-01
5.000000000000000e-04	9.777457e-01
Step Information: X=173  (Step: 174/1001)
0.000000000000000e+00	9.973612e-01
4.892869781988886e-04	9.973612e-01
5.000000000000000e-04	9.973612e-01
Step Information: X=174  (Step: 175/1001)
0.000000000000000e+00	1.002835e+00
4.892869781988886e-04	1.002835e+00
5.000000000000000e-04	1.002835e+00
Step Information: X=175  (Step: 176/1001)
0.000000000000000e+00	9.963500e-01
4.892869781988886e-04	9.963500e-01
5.000000000000000e-04	9.963500e-01
Step Information: X=176  (Step: 177/1001)
0.000000000000000e+00	9.879780e-01
4.892869781988886e-04	9.879780e-01
5.000000000000000e-04	9.879780e-01
Step Information: X=177  (Step: 178/1001)
0.000000000000000e+00	1.003640e+00
4.892869781988886e-04	1.003640e+00
5.000000000000000e-04	1.003640e+00
Step Information: X=178  (Step: 179/1001)
0.000000000000000e+00	1.011779e+00
4.892869781988886e-04	1.011779e+00
5.000000000000000e-04	1.011779e+00
Step Information: X=179  (Step: 180/1001)
0.000000000000000e+00	1.002969e+00
4.892869781988886e-04	1.002969e+00
5.000000000000000e-04	1.002969e+00
Step Information: X=180  (Step: 181/1001)
0.000000000000000e+00	1.002525e+00
4.892869781988886e-04	1.002525e+00
5.000000000000000e-04	1.002525e+00
Step Information: X=181  (Step: 182/1001)
0.000000000000000e+00	9.961571e-01
